
2025/03/15 (15:17:45) | ===> btop++ v.1.4.0
2025/03/15 (15:17:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (16:40:21) | ===> btop++ v.1.4.0
2025/03/15 (16:40:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (17:52:11) | ===> btop++ v.1.4.0
2025/03/15 (17:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (17:52:47) | ===> btop++ v.1.4.0
2025/03/15 (17:52:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (17:56:35) | ===> btop++ v.1.4.0
2025/03/15 (17:56:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (19:21:34) | ===> btop++ v.1.4.0
2025/03/15 (19:21:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/15 (19:21:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (19:23:34) | ===> btop++ v.1.4.0
2025/03/17 (19:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (19:23:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (11:18:56) | ===> btop++ v.1.4.0
2025/03/27 (11:18:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (11:18:56) | WARNING: Intel GPU: Failed to initialize PMU
